%$<`# = <]]
%"/(] = #`]$
`$<(( = <(]
%"<\& = <$$
#&/]( = ###"
The question is "&/($

Operator symbols </
Question operator symbol /
Question operator in examples

Digit symbols %$`#]"(\&

Checking concatenation
left %$ op < right `# expected %$`# versus <]] mismatch
left %" op / right (] expected %"(] versus #`]$ mismatch
left `$ op < right (( expected `$(( versus <(] mismatch
left %" op < right \& expected %"\& versus <$$ mismatch
left #& op / right ]( expected #&]( versus ###" mismatch

Question operator / is not concatenation

Checking reverse concatenation
left %$ op < right `# expected `#%$ versus <]] mismatch
left %" op / right (] expected (]%" versus #`]$ mismatch
left `$ op < right (( expected ((`$ versus <(] mismatch
left %" op < right \& expected \&%" versus <$$ mismatch
left #& op / right ]( expected ](#& versus ###" mismatch

Question operator / is not reverse concatenation

Filtering out the concatenation operations
%$<`# = <]]
%"/(] = #`]$
`$<(( = <(]
%"<\& = <$$
#&/]( = ###"

Assigning mul
 left %$ op < right `# = <]] length 3
 left %" op / right (] = #`]$ length 4 assume mul
 left `$ op < right (( = <(] length 3
 left %" op < right \& = <$$ length 3
 left #& op / right ]( = ###" assumed mul

Assigning sub
 left %$ op < right `# = <]] length 3
 left %" op / right (] = #`]$ assumed mul
 left `$ op < right (( = <(] length 3
 left %" op < right \& = <$$ length 3
 left #& op / right ]( = ###" assumed mul

Assigning add
 left %$ op < right `# = <]] length 3 assume add
 left %" op / right (] = #`]$ assumed mul
 left `$ op < right (( = <(] assumed add
 left %" op < right \& = <$$ assumed add
 left #& op / right ]( = ###" assumed mul

Assigning remainder
 add is assigned, assigning remainder as sub
 left %$ op < right `# = <]] assumed add
 left %" op / right (] = #`]$ assumed mul
 left `$ op < right (( = <(] assumed add
 left %" op < right \& = <$$ assumed add
 left #& op / right ]( = ###" assumed mul
 left "& op / right ($ the question, assumed mul

Trying %=1 $=2 `=3 #=4 ]=5 "=6 (=7 \=8 &=9 A=0
%$<`# = 12 add 34 = 46 vs <]] 55 diff 9 add no; 21 add 43 = 64 vs rev ]]< 551 diff 487 add no
 rejected none "&/($ = 69 mul 72 rev 96 mul 27 = 2592 rev 2952 = final answer: $&]$

Trying %=0 $=1 `=2 #=3 ]=4 "=5 (=6 \=8 &=9 A=7
%$<`# = 01 add 23 = 24 vs <]] 44 diff 20 add no; 10 add 32 = 42 vs rev ]]< 441 diff 399 add no
 rejected none "&/($ = 59 mul 61 rev 95 mul 16 = 1520 rev 0251 = final answer: %`"$

Trying %=8 $=0 `=1 #=2 ]=4 "=5 (=6 \=3 &=9 A=7
%$<`# = 80 add 12 = 92 vs <]] 44 diff 48 add no; 08 add 21 = 29 vs rev ]]< 448 diff 419 add no
 rejected none "&/($ = 59 mul 60 rev 95 mul 06 = 570 rev 075 = final answer: $A"

Trying %=5 $=9 `=0 #=1 ]=4 "=6 (=7 \=8 &=3 A=2
%$<`# = 59 add 01 = 60 vs <]] 44 diff 16 add no; 95 add 10 = 105 vs rev ]]< 445 diff 340 add no
 rejected none "&/($ = 63 mul 79 rev 36 mul 97 = 3492 rev 2943 = final answer: A$]&

Trying %=9 $=8 `=5 #=0 ]=4 "=6 (=7 \=3 &=1 A=2
%$<`# = 98 add 50 = 148 vs <]] 44 diff 104 add no; 89 add 05 = 94 vs rev ]]< 449 diff 355 add no
 rejected none "&/($ = 61 mul 78 rev 16 mul 87 = 1392 rev 2931 = final answer: A%\&

Trying %=1 $=2 `=3 #=4 ]=5 "=6 (=7 \=8 &=9 A=0
%$<`# = 12 add 34 = 46 vs <]] 55 diff 9 add no; 21 add 43 = 64 vs rev ]]< 551 diff 487 add no
 rejected none "&/($ = 69 mul 72 rev 96 mul 27 = 2592 rev 2952 = final answer: $&]$

Trying %=0 $=1 `=2 #=3 ]=4 "=5 (=6 \=8 &=9 A=7
%$<`# = 01 add 23 = 24 vs <]] 44 diff 20 add no; 10 add 32 = 42 vs rev ]]< 441 diff 399 add no
 rejected none "&/($ = 59 mul 61 rev 95 mul 16 = 1520 rev 0251 = final answer: %`"$

Trying %=8 $=0 `=1 #=2 ]=4 "=5 (=6 \=3 &=9 A=7
%$<`# = 80 add 12 = 92 vs <]] 44 diff 48 add no; 08 add 21 = 29 vs rev ]]< 448 diff 419 add no
 rejected none "&/($ = 59 mul 60 rev 95 mul 06 = 570 rev 075 = final answer: $A"

Trying %=5 $=9 `=0 #=1 ]=4 "=6 (=7 \=8 &=3 A=2
%$<`# = 59 add 01 = 60 vs <]] 44 diff 16 add no; 95 add 10 = 105 vs rev ]]< 445 diff 340 add no
 rejected none "&/($ = 63 mul 79 rev 36 mul 97 = 3492 rev 2943 = final answer: A$]&

Trying %=9 $=8 `=5 #=0 ]=4 "=6 (=7 \=3 &=1 A=2
%$<`# = 98 add 50 = 148 vs <]] 44 diff 104 add no; 89 add 05 = 94 vs rev ]]< 449 diff 355 add no
 rejected none "&/($ = 61 mul 78 rev 16 mul 87 = 1392 rev 2931 = final answer: A%\&

Trying %=1 $=2 `=3 #=4 ]=5 "=6 (=7 \=8 &=9 A=0
%$<`# = 12 add 34 = 46 vs <]] 55 diff 9 add no; 21 add 43 = 64 vs rev ]]< 551 diff 487 add no
 rejected none "&/($ = 69 mul 72 rev 96 mul 27 = 2592 rev 2952 = final answer: $&]$

Trying %=0 $=1 `=2 #=3 ]=4 "=5 (=6 \=8 &=9 A=7
%$<`# = 01 add 23 = 24 vs <]] 44 diff 20 add no; 10 add 32 = 42 vs rev ]]< 441 diff 399 add no
 rejected none "&/($ = 59 mul 61 rev 95 mul 16 = 1520 rev 0251 = final answer: %`"$

Trying %=8 $=0 `=1 #=2 ]=4 "=5 (=6 \=3 &=9 A=7
%$<`# = 80 add 12 = 92 vs <]] 44 diff 48 add no; 08 add 21 = 29 vs rev ]]< 448 diff 419 add no
 rejected none "&/($ = 59 mul 60 rev 95 mul 06 = 570 rev 075 = final answer: $A"

Trying %=5 $=9 `=0 #=1 ]=4 "=6 (=7 \=8 &=3 A=2
%$<`# = 59 add 01 = 60 vs <]] 44 diff 16 add no; 95 add 10 = 105 vs rev ]]< 445 diff 340 add no
 rejected none "&/($ = 63 mul 79 rev 36 mul 97 = 3492 rev 2943 = final answer: A$]&

Trying %=9 $=8 `=5 #=0 ]=4 "=6 (=7 \=3 &=1 A=2
%$<`# = 98 add 50 = 148 vs <]] 44 diff 104 add no; 89 add 05 = 94 vs rev ]]< 449 diff 355 add no
 rejected none "&/($ = 61 mul 78 rev 16 mul 87 = 1392 rev 2931 = final answer: A%\&

Trying %=1 $=2 `=3 #=4 ]=5 "=6 (=7 \=8 &=9 A=0
%$<`# = 12 add 34 = 46 vs <]] 55 diff 9 add no; 21 add 43 = 64 vs rev ]]< 551 diff 487 add no
 rejected none "&/($ = 69 mul 72 rev 96 mul 27 = 2592 rev 2952 = final answer: $&]$

Trying %=0 $=1 `=2 #=3 ]=4 "=5 (=6 \=8 &=9 A=7
%$<`# = 01 add 23 = 24 vs <]] 44 diff 20 add no; 10 add 32 = 42 vs rev ]]< 441 diff 399 add no
 rejected none "&/($ = 59 mul 61 rev 95 mul 16 = 1520 rev 0251 = final answer: %`"$

Trying %=8 $=0 `=1 #=2 ]=4 "=5 (=6 \=3 &=9 A=7
%$<`# = 80 add 12 = 92 vs <]] 44 diff 48 add no; 08 add 21 = 29 vs rev ]]< 448 diff 419 add no
 rejected none "&/($ = 59 mul 60 rev 95 mul 06 = 570 rev 075 = final answer: $A"

Trying %=5 $=9 `=0 #=1 ]=4 "=6 (=7 \=8 &=3 A=2
%$<`# = 59 add 01 = 60 vs <]] 44 diff 16 add no; 95 add 10 = 105 vs rev ]]< 445 diff 340 add no
 rejected none "&/($ = 63 mul 79 rev 36 mul 97 = 3492 rev 2943 = final answer: A$]&

Trying %=9 $=8 `=5 #=0 ]=4 "=6 (=7 \=3 &=1 A=2
%$<`# = 98 add 50 = 148 vs <]] 44 diff 104 add no; 89 add 05 = 94 vs rev ]]< 449 diff 355 add no
 rejected none "&/($ = 61 mul 78 rev 16 mul 87 = 1392 rev 2931 = final answer: A%\&

Trying %=1 $=2 `=3 #=4 ]=5 "=6 (=7 \=8 &=9 A=0
%$<`# = 12 add 34 = 46 vs <]] 55 diff 9 add no; 21 add 43 = 64 vs rev ]]< 551 diff 487 add no
 rejected none "&/($ = 69 mul 72 rev 96 mul 27 = 2592 rev 2952 = final answer: $&]$

Trying %=0 $=1 `=2 #=3 ]=4 "=5 (=6 \=8 &=9 A=7
%$<`# = 01 add 23 = 24 vs <]] 44 diff 20 add no; 10 add 32 = 42 vs rev ]]< 441 diff 399 add no
 rejected none "&/($ = 59 mul 61 rev 95 mul 16 = 1520 rev 0251 = final answer: %`"$

Trying %=8 $=0 `=1 #=2 ]=4 "=5 (=6 \=3 &=9 A=7
%$<`# = 80 add 12 = 92 vs <]] 44 diff 48 add no; 08 add 21 = 29 vs rev ]]< 448 diff 419 add no
 rejected none "&/($ = 59 mul 60 rev 95 mul 06 = 570 rev 075 = final answer: $A"

Trying %=5 $=9 `=0 #=1 ]=4 "=6 (=7 \=8 &=3 A=2
%$<`# = 59 add 01 = 60 vs <]] 44 diff 16 add no; 95 add 10 = 105 vs rev ]]< 445 diff 340 add no
 rejected none "&/($ = 63 mul 79 rev 36 mul 97 = 3492 rev 2943 = final answer: A$]&

Trying %=9 $=8 `=5 #=0 ]=4 "=6 (=7 \=3 &=1 A=2
%$<`# = 98 add 50 = 148 vs <]] 44 diff 104 add no; 89 add 05 = 94 vs rev ]]< 449 diff 355 add no
 rejected none "&/($ = 61 mul 78 rev 16 mul 87 = 1392 rev 2931 = final answer: A%\&

Trying %=1 $=2 `=3 #=4 ]=5 "=6 (=7 \=8 &=9 A=0
%$<`# = 12 add 34 = 46 vs <]] 55 diff 9 add no; 21 add 43 = 64 vs rev ]]< 551 diff 487 add no
 rejected none "&/($ = 69 mul 72 rev 96 mul 27 = 2592 rev 2952 = final answer: $&]$

Trying %=0 $=1 `=2 #=3 ]=4 "=5 (=6 \=8 &=9 A=7
%$<`# = 01 add 23 = 24 vs <]] 44 diff 20 add no; 10 add 32 = 42 vs rev ]]< 441 diff 399 add no
 rejected none "&/($ = 59 mul 61 rev 95 mul 16 = 1520 rev 0251 = final answer: %`"$

Trying %=8 $=0 `=1 #=2 ]=4 "=5 (=6 \=3 &=9 A=7
%$<`# = 80 add 12 = 92 vs <]] 44 diff 48 add no; 08 add 21 = 29 vs rev ]]< 448 diff 419 add no
 rejected none "&/($ = 59 mul 60 rev 95 mul 06 = 570 rev 075 = final answer: $A"

Trying %=5 $=9 `=0 #=1 ]=4 "=6 (=7 \=8 &=3 A=2
%$<`# = 59 add 01 = 60 vs <]] 44 diff 16 add no; 95 add 10 = 105 vs rev ]]< 445 diff 340 add no
 rejected none "&/($ = 63 mul 79 rev 36 mul 97 = 3492 rev 2943 = final answer: A$]&

Trying %=9 $=8 `=5 #=0 ]=4 "=6 (=7 \=3 &=1 A=2
%$<`# = 98 add 50 = 148 vs <]] 44 diff 104 add no; 89 add 05 = 94 vs rev ]]< 449 diff 355 add no
 rejected none "&/($ = 61 mul 78 rev 16 mul 87 = 1392 rev 2931 = final answer: A%\&

Trying %=1 $=2 `=3 #=4 ]=5 "=6 (=7 \=8 &=9 A=0
%$<`# = 12 add 34 = 46 vs <]] 55 diff 9 add no; 21 add 43 = 64 vs rev ]]< 551 diff 487 add no
 rejected none "&/($ = 69 mul 72 rev 96 mul 27 = 2592 rev 2952 = final answer: $&]$

Trying %=0 $=1 `=2 #=3 ]=4 "=5 (=6 \=8 &=9 A=7
%$<`# = 01 add 23 = 24 vs <]] 44 diff 20 add no; 10 add 32 = 42 vs rev ]]< 441 diff 399 add no
 rejected none "&/($ = 59 mul 61 rev 95 mul 16 = 1520 rev 0251 = final answer: %`"$

Trying %=8 $=0 `=1 #=2 ]=4 "=5 (=6 \=3 &=9 A=7
%$<`# = 80 add 12 = 92 vs <]] 44 diff 48 add no; 08 add 21 = 29 vs rev ]]< 448 diff 419 add no
 rejected none "&/($ = 59 mul 60 rev 95 mul 06 = 570 rev 075 = final answer: $A"

Trying %=5 $=9 `=0 #=1 ]=4 "=6 (=7 \=8 &=3 A=2
%$<`# = 59 add 01 = 60 vs <]] 44 diff 16 add no; 95 add 10 = 105 vs rev ]]< 445 diff 340 add no
 rejected none "&/($ = 63 mul 79 rev 36 mul 97 = 3492 rev 2943 = final answer: A$]&

Trying %=9 $=8 `=5 #=0 ]=4 "=6 (=7 \=3 &=1 A=2
%$<`# = 98 add 50 = 148 vs <]] 44 diff 104 add no; 89 add 05 = 94 vs rev ]]< 449 diff 355 add no
 rejected none "&/($ = 61 mul 78 rev 16 mul 87 = 1392 rev 2931 = final answer: A%\&

Trying %=1 $=2 `=3 #=4 ]=5 "=6 (=7 \=8 &=9 A=0
%$<`# = 12 add 34 = 46 vs <]] 55 diff 9 add no; 21 add 43 = 64 vs rev ]]< 551 diff 487 add no
 rejected none "&/($ = 69 mul 72 rev 96 mul 27 = 2592 rev 2952 = final answer: $&]$

Trying %=0 $=1 `=2 #=3 ]=4 "=5 (=6 \=8 &=9 A=7
%$<`# = 01 add 23 = 24 vs <]] 44 diff 20 add no; 10 add 32 = 42 vs rev ]]< 441 diff 399 add no
 rejected none "&/($ = 59 mul 61 rev 95 mul 16 = 1520 rev 0251 = final answer: %`"$

Trying %=8 $=0 `=1 #=2 ]=4 "=5 (=6 \=3 &=9 A=7
%$<`# = 80 add 12 = 92 vs <]] 44 diff 48 add no; 08 add 21 = 29 vs rev ]]< 448 diff 419 add no
 rejected none "&/($ = 59 mul 60 rev 95 mul 06 = 570 rev 075 = final answer: $A"

Trying %=5 $=9 `=0 #=1 ]=4 "=6 (=7 \=8 &=3 A=2
%$<`# = 59 add 01 = 60 vs <]] 44 diff 16 add no; 95 add 10 = 105 vs rev ]]< 445 diff 340 add no
 rejected none "&/($ = 63 mul 79 rev 36 mul 97 = 3492 rev 2943 = final answer: A$]&

Trying %=9 $=8 `=5 #=0 ]=4 "=6 (=7 \=3 &=1 A=2
%$<`# = 98 add 50 = 148 vs <]] 44 diff 104 add no; 89 add 05 = 94 vs rev ]]< 449 diff 355 add no
 rejected none "&/($ = 61 mul 78 rev 16 mul 87 = 1392 rev 2931 = final answer: A%\&

Trying %=1 $=2 `=3 #=4 ]=5 "=6 (=7 \=8 &=9 A=0
%$<`# = 12 add 34 = 46 vs <]] 55 diff 9 add no; 21 add 43 = 64 vs rev ]]< 551 diff 487 add no
 rejected none "&/($ = 69 mul 72 rev 96 mul 27 = 2592 rev 2952 = final answer: $&]$

Trying %=0 $=1 `=2 #=3 ]=4 "=5 (=6 \=8 &=9 A=7
%$<`# = 01 add 23 = 24 vs <]] 44 diff 20 add no; 10 add 32 = 42 vs rev ]]< 441 diff 399 add no
 rejected none "&/($ = 59 mul 61 rev 95 mul 16 = 1520 rev 0251 = final answer: %`"$

Trying %=8 $=0 `=1 #=2 ]=4 "=5 (=6 \=3 &=9 A=7
%$<`# = 80 add 12 = 92 vs <]] 44 diff 48 add no; 08 add 21 = 29 vs rev ]]< 448 diff 419 add no
 rejected none "&/($ = 59 mul 60 rev 95 mul 06 = 570 rev 075 = final answer: $A"

Trying %=5 $=9 `=0 #=1 ]=4 "=6 (=7 \=8 &=3 A=2
%$<`# = 59 add 01 = 60 vs <]] 44 diff 16 add no; 95 add 10 = 105 vs rev ]]< 445 diff 340 add no
 rejected none "&/($ = 63 mul
